Time (min),Exp Gained,Exp Type
0,0.0,defence
10,268.0,defence
20,480.0,defence
30,680.0,defence
40,876.0,defence
50,1052.0,defence
60,1276.0,defence
70,1496.0,defence
80,1688.0,defence
90,1928.0,defence
100,2132.0,defence
110,2336.0,defence
120,2536.0,defence
130,2780.0,defence
140,3004.0,defence
150,3228.0,defence
160,3420.0,defence
170,3644.0,defence
180,3868.0,defence
0,0.0,hitpoint
10,89.11,hitpoint
20,159.6,hitpoint
30,226.1,hitpoint
40,291.27,hitpoint
50,349.79,hitpoint
60,424.27,hitpoint
70,497.42,hitpoint
80,561.26,hitpoint
90,641.06,hitpoint
100,708.89,hitpoint
110,776.72,hitpoint
120,843.22,hitpoint
130,924.35,hitpoint
140,998.83,hitpoint
150,1073.31,hitpoint
160,1137.15,hitpoint
170,1211.63,hitpoint
180,1286.11,hitpoint
